pass:1 time:25023406.000000 
pass:2 time:57097024.000000 
pass:3 time:91082609.000000 
pass:4 time:149842047.000000 
pass:5 time:329208045.000000 
pass:6 time:511825571.000000 
pass:7 time:679548695.000000 
pass:8 time:721044057.000000 
pass:9 time:638979502.000000 
pass:10 time:760591380.000000 
pass:11 time:700870525.000000 
pass:12 time:667315075.000000 
pass:13 time:1107334067.000000 
pass:14 time:1407538956.000000 
pass:15 time:1217179899.000000 
pass:16 time:1776223535.000000 
pass:17 time:1248940649.000000 
pass:18 time:1365542170.000000 
pass:19 time:1535605268.000000 
pass:20 time:1766059242.000000 
pass:21 time:2066993383.000000 
pass:22 time:1874400254.000000 
pass:23 time:1598124549.000000 
pass:24 time:2136317920.000000 
pass:25 time:2263294082.000000 
pass:26 time:2314618946.000000 
pass:27 time:3030477328.000000 
pass:28 time:2885899169.000000 
pass:29 time:3136480391.000000 
pass:30 time:3226658343.000000 
pass:31 time:3051822538.000000 
pass:32 time:2981333412.000000
