pass:1 time:32815799.000000 
pass:2 time:141882570.000000 
pass:3 time:305151355.000000 
pass:4 time:511529684.000000 
pass:5 time:772797814.000000 
pass:6 time:991060992.000000 
pass:7 time:1216628494.000000 
pass:8 time:1395990432.000000 
pass:9 time:1519149585.000000 
pass:10 time:1683337150.000000 
pass:11 time:1815473394.000000 
pass:12 time:1930684664.000000 
pass:13 time:2043739066.000000 
pass:14 time:2202986203.000000 
pass:15 time:2341347786.000000 
pass:16 time:2492444246.000000 
pass:17 time:2647370780.000000 
pass:18 time:2863500021.000000 
pass:19 time:3013636119.000000 
pass:20 time:3140795485.000000 
pass:21 time:3322421086.000000 
pass:22 time:3510048105.000000 
pass:23 time:3628688988.000000 
pass:24 time:3834152888.000000 
pass:25 time:3793087964.000000 
pass:26 time:4390231881.000000 
pass:27 time:4675736285.000000 
pass:28 time:4763041197.000000 
pass:29 time:4968650001.000000 
pass:30 time:5129680114.000000 
pass:31 time:5443616371.000000 
pass:32 time:5490419346.000000 
