pass:1 time:19316564.000000 
pass:2 time:88655324.000000 
pass:3 time:248988251.000000 
pass:4 time:242804563.000000 
pass:5 time:388461248.000000 
pass:6 time:391856193.000000 
pass:7 time:586327819.000000 
pass:8 time:749120790.000000 
pass:9 time:891767074.000000 
pass:10 time:1163911526.000000 
pass:11 time:1591945569.000000 
pass:12 time:1714486929.000000 
pass:13 time:1983042167.000000 
pass:14 time:2033939921.000000 
pass:15 time:2974963712.000000 
pass:16 time:3425847128.000000 
pass:17 time:3834261937.000000 
pass:18 time:4369818242.000000 
pass:19 time:4522649726.000000 
pass:20 time:5643688409.000000 
pass:21 time:5657545739.000000 
pass:22 time:6649672949.000000 
pass:23 time:7442373224.000000 
pass:24 time:8928846403.000000 
pass:25 time:9270819113.000000 
pass:26 time:9656218168.000000 
pass:27 time:10904557015.000000 
pass:28 time:12073470925.000000 
pass:29 time:11366186897.000000 
pass:30 time:14873461905.000000 
pass:31 time:13737179047.000000 
pass:32 time:12804129883.000000 
